,frequency
安装,181
好,125
美的,109
师傅,87
热水器,77
热水,59
方便,51
京东,49
买,47
不错,45
使用,45
加热,42
预约,31
速度,31
品牌,30
效果,28
满意,27
显示,26
服务,26
后,25
安全,25
外观,25
操作,24
送货,23
很快,23
家里,22
好评,21
断电,21
遥控,20
大气,20
电,20
保温,20
升,20
售后,20
电热水器,20
专业,19
款,19
质量,18
上档次,18
节能,18
产品,18
放心,18
省,17
选择,17
感觉,17
出水,17
比较,17
洗,16
智能,16
喜欢,16
收到,16
水温,15
时间,15
真的,14
上门,14
够用,13
颜色,13
热,13
机器,13
装,13
功能,13
小,12
高端,12
价格,12
东西,12
评价,12
燃气,12
第二天,12
号,12
漂亮,12
再,12
容量,12
值得,12
购买,12
挺,12
服务态度,11
送到,11
快递,11
信赖,11
一个,11
防电墙,11
60,11
下单,11
以后,11
温度,11
收费,11
联系,11
一次,11
到货,10
水,10
装修,10
Midea,10
卫生间,10
冬天,10
11,10
态度,10
特别,10
APP,10
金色,10
远程,10
年,10
外型,9
应该,9
控制,9
及时,9
现在,9
赞,9
好看,9
烧水,9
洗澡,9
能效,9
总体,9
力,9
高,9
双十,8
保修,8
便宜,8
手机,8
厨房,8
这款,8
感谢,8
以前,8
最终,8
空间,8
购物,8
小巧,8
完,8
简便,8
我家,8
希望,8
增容,8
实惠,8
物流,7
占,7
触屏,7
机型,7
下,7
客服,7
很大,7
相信,7
小时,7
大方,7
量,7
调温,7
高大,7
支持,7
声音,7
换,7
问题,7
变容,7
不用,7
人员,7
倒计时,7
整体,7
液晶屏,7
合适,7
一下,7
简单,6
情况,6
使用方便,6
技术,6
HEY,6
好用,6
一直,6
做工,6
LED,6
推荐,6
配送,6
玫瑰,6
电器,6
屏幕,6
剩余,6
下午,6
中,6
40,6
e,6
做,6
A6,6
过程,6
免费,6
刚刚,6
宝贝,6
真心,6
送,6
通气,6
材料费,6
终于,6
性价比,6
实用功能,6
调节,6
漏电,6
已经,6
舒服,6
速热,6
完成,5
小厨,5
地方,5
提前,5
体验,5
一流,5
完毕,5
辛苦,5
足,5
灵敏,5
简洁,5
费用,5
设置,5
商品,5
之前,5
真是,5
容,5
只,5
来说,5
关键,5
鞋套,5
挺快,5
更好,5
目前,5
约,5
很漂亮,5
帮忙,5
级,5
原来,5
调,5
洗衣机,5
水龙头,5
当天,5
相当,5
家电,5
一点,5
倍增,5
过来,5
宝,5
管子,5
迅速,5
实用,5
搞定,5
美观,5
实体店,5
家,5
功率,5
合理,5
配件,4
太,4
选,4
洗浴,4
试用,4
数字,4
大小,4
安,4
房子,4
最后,4
早上,4
负责,4
花,4
主要,4
显示屏,4
13,4
再也,4
设计,4
售后服务,4
自动,4
新,4
试机,4
保障,4
家人,4
对比,4
直接,4
菜刀,4
月,4
电话,4
大屏,4
试,4
全,4
一款,4
看着,4
放,4
所有,4
连接,4
F8030,4
开关,4
一键,4
耐心,4
乱收费,4
送货上门,4
牌子,4
实时,4
一天,4
两个,4
正好,4
进门,4
好多,4
精美,4
最,4
晚上,4
90S,4
挺不错,4
划算,4
稳定,4
活动,4
认真,4
80,4
时,4
打开,4
准时,4
一级,4
输出,4
块,4
听,4
要求,4
体积,4
F6030,4
显得,4
没用,4
率,4
空调,4
安装时间,4
本来,4
一台,4
很棒,4
接头,4
到位,4
精致,4
解决,4
人用,4
位置,4
触控,4
真正,4
担心,4
天然气,4
顺利,4
浴室,4
今天,4
感,4
正常,3
用水,3
小哥,3
安心,3
接受,3
85%,3
插曲,3
触摸屏,3
线条,3
12,3
还会,3
科技,3
功能齐全,3
变升,3
一些,3
长,3
完后,3
流畅,3
觉得,3
久,3
角阀,3
清洗,3
杠杠,3
装饰,3
中午,3
品质,3
够,3
给力,3
需,3
50,3
物美价廉,3
24,3
G2,3
加,3
漏气,3
卖家,3
追评,3
昨天,3
网上,3
保证,3
使用寿命,3
16,3
每次,3
考虑,3
配,3
烟管,3
工作,3
想,3
打电话,3
整胆,3
一家人,3
收,3
有点,3
讲解,3
尺寸,3
头,3
个头,3
没得说,3
公司,3
等待,3
冷,3
一共,3
防,3
空气,3
水量,3
一如既往,3
自带,3
这次,3
按钮,3
半胆,3
告知,3
哒,3
洗碗,3
°,3
双,3
重要,3
适合,3
澡,3
烫手,3
已,3
用心,3
软件,3
信,3
帮,3
洗手间,3
机子,3
耽误,3
美观大方,3
知道,3
冰箱,3
触摸,3
保护,3
高档,3
热情,3
一目了然,3
观察,3
详细,3
电热,2
几个,2
87,2
最高,2
后续,2
款式,2
十天,2
75,2
清晰,2
准备,2
旧,2
最好,2
浪费,2
19,2
行为,2
省心,2
防水,2
谢谢,2
水气,2
朋友,2
低热,2
大容量,2
耗材,2
防超温,2
省事,2
抑菌,2
早就,2
明确,2
最热时,2
超长,2
天才,2
负荷,2
保温层,2
70,2
滴,2
晚,2
走,2
水压,2
每个,2
发现,2
贴心,2
用电,2
冷热,2
加厚,2
半小时,2
多人,2
新房,2
泥,2
控温,2
超级,2
采用,2
瞬间,2
水会,2
连续,2
龙头,2
果断,2
发泡,2
铝箔,2
模式,2
一段时间,2
防止,2
度,2
精细,2
降价,2
丝毫,2
价位,2
细致,2
分别,2
HE,2
第二次,2
拆旧,2
直,2
装完,2
该款,2
IP,2
30,2
周日,2
20,2
A9,2
一年,2
介绍,2
包装,2
金,2
nice,2
48,2
寿命,2
循环系统,2
200L,2
3000W,2
秒杀,2
还给,2
档次,2
节水,2
多重,2
开到,2
工人,2
插座,2
性能,2
聚氨酯,2
半个,2
冷水,2
面板,2
期待,2
G1,2
22,2
防干烧,2
安静,2
抬,2
轻松,2
淋浴,2
正在,2
想象,2
无,2
收货,2
回访,2
楼上,2
23,2
烧,2
关闭,2
塑料管,2
洗菜,2
发热管,2
250V,2
确定,2
胶带,2
选美,2
认真负责,2
升是,2
3000,2
热水管,2
一盆,2
小家电,2
点,2
中间,2
日,2
收取,2
那种,2
即可,2
干净,2
不带,2
不苦,2
星,2
阀,2
前,2
优点,2
热得快,2
说明,2
安排,2
高效,2
屏,2
出现,2
充足,2
简约,2
影响,2
容易,2
喷头,2
两天,2
质保,2
穿,2
调试,2
01,2
噪音,2
服务到位,2
改,2
洗个,2
几分钟,2
暂时,2
这是,2
不够,2
双调,2
瓦,2
100,2
敬业,2
信任,2
冷热水,2
2017,2
娴熟,2
灵活,2
节省,2
防高,2
耐用,2
C,2
足够,2
电源插座,2
关注,2
行,2
保护装置,2
价,2
踏实,2
装上,2
先,2
晒,2
换掉,2
熟练,2
完美,2
后期,2
坏,2
产品质量,2
插,2
衣服,2
明天,2
听见,2
单位,2
确认,2
送来,2
还好,2
恒温,2
沟通,2
开启,2
具体,2
红色,2
满分,2
三档,2
左,2
周六,2
更长,2
之后,2
每天,2
不到,2
满满的,2
优惠,2
滚筒,2
花洒,2
清楚,2
好处,2
好几个,2
好久,2
洗脸,2
极速,2
新款,2
水箱,2
提供,2
价钱,2
套,2
冲洗,2
追加,2
青苔,2
些,2
空开,2
越做越,2
机身,2
第三天,2
×,2
主动,2
天燃气,2
不想,2
体积小,1
一早,1
安装工,1
精良,1
JS,1
双清,1
2m,1
领,1
身边,1
超省,1
只能,1
串门,1
同类产品,1
漩涡,1
赞赞赞,1
神器,1
小巧玲珑,1
一起,1
再接再厉,1
以示,1
一会,1
装得,1
舒适,1
以旧换新,1
刚装,1
入,1
物美,1
几天,1
后加,1
刀具,1
经得起,1
时用,1
提醒,1
孩子,1
这位,1
装机,1
进住,1
物品,1
两台,1
工作证,1
发霉,1
块钱,1
太远,1
券,1
粉丝,1
我滴个,1
体型,1
回来,1
期间,1
订单号,1
烧个,1
三四天,1
迄今为止,1
放心使用,1
考验,1
地帮,1
村,1
跟进,1
很久,1
亮,1
纠结,1
以上,1
钱,1
三明,1
问,1
03,1
当地,1
10A,1
燃气公司,1
打卡,1
递给,1
安装程序,1
住,1
美缝,1
升能,1
拥有,1
只用,1
半天,1
颜值,1
首选,1
装在,1
功,1
呺,1
曲折,1
高枕无忧,1
犯愁,1
品类,1
毛病,1
带走,1
开,1
洗出来,1
允许,1
煤气中毒,1
安全可靠,1
浴,1
烧时,1
冲个,1
随温感,1
拍照,1
越来越,1
多元,1
打扫卫生,1
已装,1
乖乖,1
再次,1
贵,1
富力湾,1
第一件,1
三十分钟,1
一周,1
照常,1
搞清楚,1
牛,1
强烈要求,1
占地,1
里面,1
太好了,1
超高,1
不负众望,1
员,1
时排,1
流览嚣,1
略慢,1
拿到,1
依据,1
5880,1
用些,1
水拔,1
货品,1
夏天,1
太给力,1
毫不犹豫,1
粉色,1
工牌,1
送货到,1
动力,1
安全性,1
上楼,1
没修过,1
温热,1
一卫,1
热式,1
一上午,1
遥控器,1
安防,1
静音,1
易,1
下来,1
必赞,1
排队,1
有限,1
明亮,1
十几,1
礼拜一,1
同款,1
洗手,1
接地线,1
白跑一趟,1
劈材,1
内部,1
一看,1
结,1
要放,1
己用,1
二维码,1
快捷,1
输入,1
最赞,1
可靠,1
水棒,1
11.1,1
双重,1
接线,1
未填写,1
几根,1
赠品,1
混,1
期,1
分享,1
安装工人,1
一段,1
加装,1
这块,1
新装修,1
赠送,1
旧机,1
全部,1
秒左右,1
可关,1
今晚,1
后试,1
塑料,1
三佰优,1
没装,1
下定决心,1
廉价,1
出水管,1
版,1
响,1
想像,1
令人,1
凉水,1
毛巾,1
两者之间,1
长长,1
厂家,1
天冷,1
未,1
好后,1
开缝,1
排,1
风扇,1
就要,1
外形,1
看清,1
有同,1
带鞋,1
几点,1
坏掉,1
迫不及待,1
熟悉,1
PPR,1
取,1
听说,1
单独,1
煮,1
良好,1
逼,1
重新,1
蓝色,1
勉强,1
测试,1
价格比,1
秒,1
太贵,1
升数,1
开即,1
乱,1
取好,1
预留,1
穿鞋,1
恶心,1
大功率,1
内壁,1
感受,1
得出,1
好好看,1
流程,1
次日,1
三口,1
注意事项,1
突然,1
80L,1
反应,1
日才,1
大赞,1
1099,1
炮谦忘,1
健康,1
图示,1
翻新,1
732,1
二十分钟,1
电脑,1
买错,1
活水,1
用后,1
整机,1
超棒,1
仔细,1
水后,1
优势,1
拆旧机,1
几次,1
派,1
服务部,1
死,1
依然,1
五倍,1
爸妈,1
调到,1
星期,1
完单,1
试了试,1
力量,1
型号,1
出水量,1
直通,1
到达,1
守时,1
追平,1
迷倒,1
卷,1
质疑,1
事,1
刷牙,1
动手,1
头天,1
开水,1
忠实,1
右,1
必境,1
隔,1
随时,1
专用,1
预计,1
利索,1
真,1
工作人员,1
额外,1
店,1
点赞,1
办事效率,1
全自动,1
接地,1
强,1
优惠活动,1
刘师,1
运行,1
三台,1
路由器,1
搬运,1
送达,1
放掉,1
可惜,1
黄绿色,1
开口,1
热水澡,1
专门,1
立即,1
公司员工,1
货,1
OK,1
橞,1
简单明了,1
通电,1
菇,1
十三,1
选去,1
再冲,1
新装,1
全新,1
材料,1
选了,1
VIP,1
6.6,1
反正,1
隔天,1
指针,1
超好,1
此款,1
一家,1
就认,1
比价,1
新机,1
几件,1
物超所值,1
放在,1
礼拜天,1
哈哈哈,1
不足,1
用户,1
藏,1
有人,1
放水,1
久久,1
热宝,1
分钟,1
实物,1
信得过,1
洗澡水,1
天,1
39,1
工作服,1
固定,1
小桶,1
妥妥,1
生活,1
电都,1
几年,1
表扬,1
绰绰有余,1
选来,1
启动,1
微波炉,1
手感,1
要加,1
水热,1
碎片,1
米,1
经历,1
安上,1
用法,1
升温,1
我花,1
收拾,1
神速,1
不小,1
包修,1
满心欢喜,1
昨晚,1
方法,1
询问,1
海南岛,1
很省,1
最近,1
比较稳定,1
防漏,1
浴室柜,1
眼瞎,1
做到,1
补上,1
请,1
赶紧,1
TECH,1
国民,1
净水机,1
清洁,1
价格合理,1
舒舒服服,1
安装简单,1
13L,1
距离,1
很小,1
六年,1
能耗,1
主机,1
更高,1
热好,1
复,1
一大堆,1
贼,1
时长,1
工艺,1
可用,1
零件,1
一下子,1
综合,1
做好,1
用料,1
明快,1
加个,1
傍晚,1
短信,1
三千多,1
经济,1
迅捷,1
调控,1
海南,1
导致,1
赚,1
燃气管,1
一两天,1
自建楼,1
老式,1
价保,1
没恼,1
火线,1
退,1
产生,1
老人,1
凉,1
内蓉,1
二天,1
触感,1
洗水台,1
含,1
安全系数,1
现场,1
两次,1
更多更好,1
第一天,1
坐等,1
水桶,1
没通,1
优于,1
个人感觉,1
标准,1
很足,1
真是太,1
退款,1
一爆仓,1
升电,1
原因,1
洗脸池,1
自备,1
家中,1
涡旋,1
置,1
刷碗,1
－,1
漆面,1
费,1
这种,1
事情,1
不怎么样,1
长型,1
多大,1
好几家,1
师付,1
人多,1
调整,1
智能化,1
好多年,1
百个,1
胶圈,1
二三,1
上门来,1
暖暖的,1
第一次,1
工衣,1
拿下,1
小区,1
适用,1
施工,1
平台,1
内容,1
没空,1
更换,1
950,1
巅峰,1
冰凉,1
拆除,1
感到,1
正式,1
全网,1
买成,1
幸福,1
很帅,1
零线,1
瓷砖,1
自配,1
水阀,1
走上,1
祖国,1
货到,1
烫,1
省电省,1
霸气,1
这下,1
服务质量,1
延保卡,1
九点,1
一百多,1
21,1
周五,1
非,1
正合适,1
包装箱,1
百问不厌,1
安完,1
人到,1
未通,1
冲凉,1
挺好用,1
26,1
08,1
服务满意,1
645,1
卡子,1
器,1
南方,1
件,1
祝,1
赶到,1
极好,1
寄过来,1
棒,1
新家,1
一单,1
告诉,1
变得,1
亮点,1
重,1
免,1
大桶,1
大个,1
显大,1
陵水,1
层楼,1
搬走,1
这台,1
开机,1
强劲,1
礼品,1
够快,1
是否,1
高温,1
户,1
有电,1
没想到,1
装好,1
规定,1
楼顶,1
费力,1
大图,1
牌,1
金黄色,1
完满,1
理由,1
货已,1
到手,1
电磁炉,1
转接,1
组合,1
一桶,1
粘,1
美美,1
发货,1
忽冷忽热,1
幸好,1
热壮器,1
14,1
凌晨,1
开通,1
手法,1
刚下,1
入住,1
880mm,1
不像,1
常温,1
568,1
来装,1
传统,1
看到,1
细心,1
停电,1
卡条,1
上午,1
天气,1
洗衣服,1
核实,1
242,1
买个,1
加热器,1
一开,1
卸车,1
精湛,1
通水,1
恰当,1
“,1
接通,1
切菜,1
整个,1
十来,1
包,1
27,1
升速,1
钟,1
不响,1
简易,1
甩干,1
存在,1
下雨天,1
大片,1
退换货,1
括,1
过滤器,1
连用,1
三挡,1
很显,1
早,1
负责人,1
灰,1
当晚,1
当时,1
大触,1
建议,1
临时,1
过个,1
随开,1
五楼,1
继续,1
一室,1
迟,1
快防,1
符合,1
不爽,1
hao,1
信心,1
撕,1
循环,1
房间,1
尊敬,1
事实证明,1
评论,1
厨宝,1
11.2,1
贷款,1
订完,1
没法,1
djd,1
没什么,1
大屏幕,1
定货,1
最让人,1
五星,1
随热,1
迹象,1
一关,1
服务周到,1
回老家,1
北京,1
共花,1
进屋,1
烧到,1
大哥,1
不好,1
表,1
新戚,1
松脱,1
嚯,1
25,1
真快,1
关上,1
一圈,1
浪费时间,1
姑娘,1
近半年,1
搬进,1
前脚,1
摸,1
浴霸,1
全是,1
麻烦,1
强制,1
六楼,1
样子,1
物业,1
贵点,1
电水壶,1
美棒,1
今年,1
寻找,1
一个劲,1
电源,1
型,1
热量,1
乱叫,1
运到,1
数显,1
吸尘器,1
水垢,1
好不好,1
普通家庭,1
48351268273,1
WIFI,1
看看,1
规矩,1
通知,1
后脚,1
配合,1
垮塌,1
时接,1
最差,1
心仪,1
非常感谢,1
打来,1
人生,1
强力,1
小姐姐,1
太久,1
装上去,1
好好,1
满足,1
天凉,1
一系列,1
多点,1
先择,1
时尚,1
庆幸,1
供参考,1
目前为止,1
靠手,1
大黑,1
送过来,1
中央空调,1
维修,1
加强,1
品牌形象,1
算,1
电省,1
收钱,1
太爽了,1
关,1
讲,1
点个,1
插头,1
五个,1
”,1
搞好,1
申请,1
垃圾,1
佩戴,1
远,1
百洁布,1
跑,1
机械,1
临走,1
忙,1
三室,1
老房子,1
339,1
两趟,1
或用,1
快点,1
好使,1
下次,1
储,1
上网,1
16A,1
云,1
挡次,1
煲,1
red,1
清晨,1
氧化铜,1
比热,1
愉快,1
过氧化,1
显,1
缠,1
小件,1
用时,1
包括,1
买后,1
下面,1
值,1
图片,1
继电器,1
最便,1
左右,1
两卫,1
晾,1
曲,1
升就够,1
金属,1
吃力,1
满意度,1
短款,1
工装,1
特意,1
液化,1
安装费,1
G4,1
提亲,1
唯一,1
时比,1
299,1
智控,1
开电,1
价格公道,1
毛胚房,1
前置,1
留影,1
局促,1
需要,1
最大,1
无奈,1
水挺大,1
抽出,1
日常,1
棒棒,1
还要,1
客气,1
老牌子,1
心里,1
真好,1
机箱,1
两款,1
看中,1
连接处,1
造型,1
尤其,1
先是,1
办,1
货后,1
进水管,1
洗完,1
